ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
493,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos,Udemy,10,5,DevOps specialist,"10,000 or more employees",I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Italy,EUR European Euro,64000,Bash/Shell (all shells);Go;PowerShell;Python,Bash/Shell (all shells);Go;PowerShell;Python,Microsoft SQL Server,NA,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET,NA,NA,NA,Ansible;Docker;MSBuild;NuGet;Terraform,Docker;Kubernetes;Terraform,Visual Studio Code,Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops,NA,Cisco Webex Teams;Microsoft Teams;Slack,Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely","You should get rid of the ""Related questions"" sections because it's terrible!","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,5,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Never,Never,Never,60-120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Easy,68537
494,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Stack Overflow,NA,3,Less than 1 year,Student,"Just me - I am a freelancer, sole proprietor, etc.",NA,NA,Start a free trial;Visit developer communities like Stack Overflow;Other (please specify):,Sri Lanka,"USD	United States dollar",NA,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;PHP;Python;R;SQL;Swift;TypeScript,MySQL,MySQL,NA,NA,NA,NA,NA,NA,Visual Studio Solution,APT;Pacman;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Android Studio;Atom;Eclipse;Jupyter Notebook/JupyterLab;Kate;Nano;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Android Studio;Atom;Eclipse;Jupyter Notebook/JupyterLab;Kate;Nano;Visual Studio Code,Android;Debian;Fedora;Other Linux-based;Ubuntu;Other (Please Specify):,Android;Other Linux-based;Ubuntu,Notion,Notion;Stack Overflow for Teams,Discord;Google Meet;Microsoft Teams;Signal;Skype;Telegram;Whatsapp;Zoom,Discord;Matrix;Telegram;Whatsapp,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",NA,"No, but I plan to soon",Favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
495,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;On the job training;School (i.e., University, College, etc)",NA,NA,22,15,"Developer, embedded applications or devices","10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Germany,EUR European Euro,6200,Bash/Shell (all shells);C++;Python,Bash/Shell (all shells);C++;Python;Rust,NA,NA,VMware,NA,NA,NA,NumPy;Pandas;Qt,NumPy;Pandas;Qt,Ansible;CMake;Docker;GNU GCC;Google Test;LLVM's Clang;Make;Ninja;Pacman,Catch2;CMake;Docker;GNU GCC;Godot;Make;Ninja;Pacman,Vim,IPython;Vim,Android;Arch;Debian;Ubuntu,Debian;Windows,Azure Devops;Doxygen;Jira;Markdown File;Wikis,Doxygen;Markdown File;Wikis,Cisco Webex Teams;Microsoft Teams,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",identify low quality posts or duplicates; suggest answers while typing a question,"No, but I plan to soon",Indifferent,NA,Highly distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,15,Strongly agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,DevOps function;Automated testing;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,6640
496,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Professional development or self-paced learning from online courses;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy;Udacity,6,3,"Developer, mobile",20 to 99 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,"IDR	Indonesian rupiah",4000000,Dart;Groovy,Dart;Groovy,Firebase Realtime Database;MariaDB;MongoDB;MySQL;SQLite,NA,Firebase,Amazon Web Services (AWS);Firebase,NA,NA,Flutter,Flutter,Gradle,Docker;Gradle,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code;Xcode,Android;Windows,Android;Windows,Asana;Confluence;GitHub Discussions;Jira,GitHub Discussions;Jira,Google Meet;Slack;Whatsapp;Zoom,Google Meet;Slack;Whatsapp,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,A few times per week,"Yes, definitely",to sort spam answer & question,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,3,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Never,Never,Never,30-60 minutes a day,15-30 minutes a day,DevOps function;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,269
497,I agree,I am a developer by profession,55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","School (i.e., University, College, etc)",NA,NA,48,40,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Ireland,EUR European Euro,145000,Apex;JavaScript,Apex;JavaScript,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Confluence;Jira,Confluence;Jira,Slack;Zoom,Slack;Zoom,NA,NA,NA,NA,Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",NA,"No, but I plan to soon",Favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,40,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,Less than 15 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,155280
498,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Interactive tutorial,NA,13,6,"Developer, full-stack",10 to 19 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Germany,EUR European Euro,60000,C#;HTML/CSS;JavaScript;TypeScript,C#;F#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Vue.js,ASP.NET CORE;Svelte;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;Electron,MSBuild;npm;NuGet;Visual Studio Solution;Vite,Docker;MSBuild;npm;NuGet;Terraform;Visual Studio Solution;Vite,Visual Studio Code,Visual Studio Code,Windows,Windows;Windows Subsystem for Linux (WSL),NA,NA,Microsoft Teams,Microsoft Teams,NA,NA,GitHub Copilot,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Debugging and getting help;Testing code;Deployment and monitoring,Writing code;Documenting code,Project planning,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Agree,Never,Never,1-2 times a week,60-120 minutes a day,15-30 minutes a day,DevOps function;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,64254
499,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,15,11,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Austria,EUR European Euro,110000,HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Rust;Scala;SQL;Swift;TypeScript,Elixir;Rust,PostgreSQL;Redis,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare;Fly.io,Django;Express;Gatsby;jQuery;Node.js;Phoenix;Play Framework;React,React,Tauri,SwiftUI;Tauri,Homebrew;npm;pnpm;Vite;Webpack,Homebrew;Kubernetes;LLVM's Clang;pnpm;Podman;Vite,IntelliJ IDEA;Visual Studio Code;WebStorm,IntelliJ IDEA;Visual Studio Code;WebStorm;Xcode,iOS;iPadOS;MacOS,iOS;iPadOS;MacOS,Jira;Markdown File;Redmine,Basecamp;Markdown File;Stack Overflow for Teams,Google Chat;Google Meet;Slack,Slack,NA,NA,NA,NA,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely","It could perhaps help commonly asked questions to have existing responses already given for them, but shaped in a way that is good for the requester?","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,14,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,3-5 times a week,60-120 minutes a day,60-120 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Easy,117798
500,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media;Online Courses or Certification,NA,Pluralsight,10,2,Data or business analyst,"1,000 to 4,999 employees",I have little or no influence,NA,Visit developer communities like Stack Overflow;Ask a generative AI tool,United States of America,"USD	United States dollar",80000,Bash/Shell (all shells);C;C#;C++;Erlang;JavaScript;Python;SQL,Bash/Shell (all shells);C++;JavaScript;PowerShell;Python;SQL,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Django;FastAPI;Flask,FastAPI;Flask,NA,NA,APT;CMake;Make,APT;CMake;Make;Unreal Engine,Notepad++;Vim;Visual Studio Code,Vim;VSCodium,Debian;Ubuntu,Debian;Windows,NA,NA,Microsoft Teams;Zoom,Zoom,ChatGPT,Bing AI;ChatGPT,NA,NA,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",NA,Yes,Favorable,Increase productivity;Speed up learning,Neither trust nor distrust,Writing code;Documenting code;Debugging and getting help;Testing code,Learning about a codebase;Project planning,Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,,,Learning about a codebase;Project planning,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,80000
501,I agree,I am learning to code,18-24 years old,"Student, full-time",NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;Coding Bootcamp,NA,Coursera,3,NA,NA,NA,NA,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,India,NA,NA,C;C++;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,Go,Cloud Firestore;Firebase Realtime Database,Firebase Realtime Database;MongoDB;MySQL,Cloudflare;Firebase;Vercel,Amazon Web Services (AWS),Next.js;Node.js;React,NA,NA,NA,npm;Pip,CMake;Docker;npm;Unity 3D;Unreal Engine,Android Studio;Code::Blocks;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Windows,Markdown File,Markdown File,Discord;Google Meet;Telegram;Whatsapp,Discord;Google Meet;Telegram;Whatsapp,Bing AI;ChatGPT,Bing AI;ChatGPT,NA,NA,Stack Overflow;Collectives on Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",AI tools making development faster because AI generate the code within a seconds but when the error on large code it cannot be solved. Because AI gives you clues but you get answers on stackoverflow.,"No, but I plan to soon",Favorable,NA,Highly trust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,NA
502,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Other (please specify):","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",NA,6,4,"Developer, QA or test",I don’t know,I have little or no influence,NA,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,India,"INR	Indian rupee",650000,Bash/Shell (all shells);C#;PowerShell,Bash/Shell (all shells);PowerShell;Python;TypeScript,Cosmos DB;MySQL,Cosmos DB;MySQL;Redis,Microsoft Azure,Microsoft Azure,NA,NA,.NET (5+) ,.NET (5+) ;CUDA;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NuGet;Visual Studio Solution,npm;NuGet;Pip;Visual Studio Solution,Visual Studio Code,Rider;Visual Studio Code,Windows,Windows,Azure Devops,Azure Devops,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,open ai,"No, but I plan to soon",Favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,3,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Legal Services,Too long,Easy,7876
503,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training;Other (please specify):,NA,NA,10,6,"Developer, front-end","1,000 to 4,999 employees",I have some influence,Other,NA,Georgia,"GEL	Georgian lari",50000,JavaScript;TypeScript,JavaScript;TypeScript,NA,NA,NA,NA,React,Next.js;React,NA,NA,npm;Yarn,npm;Yarn,Visual Studio Code,Visual Studio Code,Windows,Ubuntu;Windows,NA,NA,Slack,Slack,NA,NA,NA,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely","Yeah those kind of improvements can be OK, but using AI answers on Stack Overflow doesn't make sense, in that way, what is the purpose of stack overflow? ChatGPT already can answer some of SO question. Although it can't answer the tougher ones.",Yes,Unsure,Other (please explain),Somewhat distrust,Testing code,,,NA,NA,NA,NA,NA,Yes,Individual contributor,9,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices,NA,Appropriate in length,Neither easy nor difficult,19152
504,I agree,I am a developer by profession,18-24 years old,"Student, full-time",NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books,NA,6,NA,NA,NA,NA,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow,Germany,NA,NA,Assembly;C;C#;Haskell;Java;Python,Assembly;C;Python;Rust,NA,NA,NA,NA,Spring Boot,NA,.NET Framework (1.0 - 4.8);NumPy;Spring Framework,NumPy;Opencv,GNU GCC;Meson,GNU GCC;Meson,Notepad++;Vim;VSCodium,Notepad++;Vim;VSCodium,Debian;Other Linux-based,Ubuntu;Windows,NA,NA,Microsoft Teams,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per month or weekly,No,NA,"No, not at all","Good for search result recommendations, otherwise useless","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
505,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects,Something else,"Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20;Stack Overflow,Other;Udemy,7,5,"Developer, full-stack",20 to 99 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,France,EUR European Euro,36400,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,MariaDB;MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS);VMware,jQuery;Symfony;WordPress,Symfony,NA,NA,Docker;Homebrew;npm;Yarn,Docker;npm;Yarn,Notepad++;PhpStorm;Sublime Text;Visual Studio Code,Notepad++;Sublime Text;Visual Studio Code,MacOS;Windows,Debian;MacOS;Windows,Azure Devops;Jira,Azure Devops;Jira,Microsoft Teams;Slack,Microsoft Teams;Slack,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",It is good that IA was able to help us draft clearer questions,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Testing code,Learning about a codebase;Writing code;Documenting code;Debugging and getting help,Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,,Learning about a codebase;Documenting code;Debugging and getting help,Yes,Individual contributor,4,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,6-10 times a week,3-5 times a week,15-30 minutes a day,15-30 minutes a day,DevOps function;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,38981
506,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Click to write Choice 20;Stack Overflow;Certification videos,Udemy;Coursera,9,5,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Nepal,"NPR	Nepalese rupee",2400000,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL,Firebase Realtime Database;Microsoft SQL Server;MongoDB;Redis,Firebase,Amazon Web Services (AWS);Firebase,Angular;CodeIgniter;jQuery;Node.js;Spring Boot,Angular;Node.js;Spring Boot,Spring Framework,Apache Kafka;Apache Spark;Flutter;RabbitMQ;Spring Framework,Composer;Gradle;Maven (build tool);npm;Webpack,Docker;Maven (build tool);npm;Unity 3D;Unreal Engine;Vite,Android Studio;DataGrip;IntelliJ IDEA;PhpStorm;Visual Studio Code;WebStorm,IntelliJ IDEA;PhpStorm;WebStorm,Android;Ubuntu;Windows,Android;Ubuntu,Asana;Clickup;Jira;Markdown File;Notion;Trello,Confluence;Jira;Markdown File;Notion;Trello,Cisco Webex Teams;Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Perplexity AI,ChatGPT,Tabnine,Tabnine,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Finding right answers to the problem instead of hopping from one to another unanswered questions all day to find a single solution,Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,Testing code;Committing and reviewing code,Writing code;Documenting code;Debugging and getting help,Learning about a codebase;Project planning;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Debugging and getting help,,,,,Yes,Individual contributor,5,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Never,1-2 times a week,Never,Over 120 minutes a day,30-60 minutes a day,DevOps function,Financial Services,Appropriate in length,Easy,18190
507,I agree,I am a developer by profession,35-44 years old,"Not employed, but looking for work",NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",NA,NA,20,NA,"Developer, full-stack",NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):;Read ratings or reviews on third party sites like G2 Crowd,India,NA,NA,C#;Groovy;JavaScript;SQL,TypeScript,Microsoft SQL Server;Redis,MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE,AngularJS;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),NA,MSBuild;NuGet;Visual Studio Solution,Docker,Notepad++;Visual Studio Code,NA,Windows;Windows Subsystem for Linux (WSL),,Redmine,NA,Cisco Webex Teams;Microsoft Teams,NA,ChatGPT,Google Bard AI,NA,NA,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",NA,"No, but I plan to soon",Very favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
